Title: Empirical limb-darkening coefficients & transit parameters of known
       exoplanets from TESS
Authors: Jayshil A. Patel and Néstor Espinoza
Table: SPAM limb darkening coefficients calculated using different methods
       for quadratic law;
================================================================================
Byte-by-byte Description of file: spam_ldc_ascii_mrt.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1- 8  A8     ---    name         Name of the host star                         
10-13  F4.2   ---    u1_code_ata  [0.16/0.58] u1 from EJ15 ATLAS                
15-18  F4.2   ---    u2_code_ata  [0.06/0.47] u2 from EJ15 ATLAS                
20-23  F4.2   ---    u1_code_pho  [0.17/0.55] u1 from EJ15 PHOENIX              
25-28  F4.2   ---    u2_code_pho  [0.09/0.47] u2 from EJ15 PHOENIX              
30-34  F5.2   ---    u1_cla_ata   [-0.09/0.55] u1 from C17 ATLAS                
36-40  F5.2   ---    u2_cla_ata   [-0.01/0.5] u2 from C17 ATLAS                 
42-45  F4.2   ---    u1_cla_pho   [0.16/0.54] u1 from C17 PHOENIX               
47-50  F4.2   ---    u2_cla_pho   [0.11/0.47] u2 from C17 PHOENIX               
52-55  F4.2   ---    u1_cla_pho_r [0.16/0.54] u1 from C17 PHOENIX, with r-method
57-60  F4.2   ---    u2_cla_pho_r [0.11/0.47] u2 from C17 PHOENIX, with r-method
--------------------------------------------------------------------------------
Notes: EJ15 means the LDCs calculated using the method by Espinoza & Jordan 
       (2015) and C17 implies the tabulated values from Claret (2017), with 
       their r-method (C17r) and q-method (C17q) when using phoenix models.
--------------------------------------------------------------------------------
WASP-61  0.30 0.20 0.35 0.17  0.30  0.20 0.37 0.16 0.37 0.16
WASP-130 0.40 0.19 0.42 0.14  0.37  0.20 0.40 0.16 0.40 0.16
HATS-13  0.38 0.18 0.42 0.14  0.38  0.19 0.42 0.15 0.42 0.15
WASP-156 0.48 0.13 0.50 0.11  0.50  0.11 0.49 0.12 0.49 0.12
NGTS-4   0.31 0.35 0.32 0.35  0.32  0.35 0.32 0.36 0.32 0.36
WASP-190 0.21 0.29 0.24 0.31  0.21  0.29 0.25 0.32 0.25 0.32
WASP-44  0.38 0.20 0.43 0.14  0.38  0.20 0.42 0.16 0.42 0.16
TOI-892  0.23 0.31 0.24 0.32  0.23  0.31 0.25 0.32 0.25 0.32
WASP-82  0.21 0.32 0.37 0.14  0.21  0.32 0.36 0.17 0.36 0.17
TOI-540  0.25 0.36 0.22 0.35 -0.04  0.20 0.21 0.34 0.21 0.34
WASP-22  0.31 0.21 0.37 0.16  0.32  0.21 0.37 0.17 0.37 0.17
TOI-905  0.37 0.21 0.41 0.14  0.36  0.21 0.39 0.18 0.39 0.18
